Energy(MeV)	u/rho(cm2/g)	u_en/rho(cm2/g)
0.00100000	922.50000000	920.30000000
0.00114237	647.40000000	645.20000000
0.00130500	453.00000000	450.90000000
0.00130500	5444.00000000	5310.00000000
0.00150000	4004.00000000	3918.00000000
0.00200000	1932.00000000	1899.00000000
0.00300000	658.50000000	649.90000000
0.00400000	297.40000000	293.70000000
0.00500000	158.30000000	156.10000000
0.00600000	93.81000000	92.27000000
0.00800000	40.61000000	39.65000000
0.01000000	21.05000000	20.36000000
0.01500000	6.35800000	5.92500000
0.02000000	2.76300000	2.43200000
0.03000000	0.93060000	0.68550000
0.04000000	0.48810000	0.28150000
0.05000000	0.32920000	0.14510000
0.06000000	0.25700000	0.08820000
0.08000000	0.19510000	0.04671000
0.10000000	0.16860000	0.03410000
0.15000000	0.13940000	0.02766000
0.20000000	0.12450000	0.02761000
0.30000000	0.10650000	0.02871000
0.40000000	0.09492000	0.02928000
0.50000000	0.08647000	0.02938000
0.60000000	0.07988000	0.02921000
0.80000000	0.07008000	0.02848000
1.00000000	0.06296000	0.02753000
1.25000000	0.05629000	0.02629000
1.50000000	0.05129000	0.02514000
2.00000000	0.04426000	0.02322000
3.00000000	0.03613000	0.02067000
4.00000000	0.03159000	0.01915000
5.00000000	0.02873000	0.01819000
6.00000000	0.02681000	0.01756000
8.00000000	0.02445000	0.01683000
10.00000000	0.02313000	0.01646000
15.00000000	0.02168000	0.01614000
20.00000000	0.02127000	0.01609000
