Energy(MeV)	u/rho(cm2/g)	u_en/rho(cm2/g)
0.00100000	4942.00000000	4935.00000000
0.00150000	1925.00000000	1918.00000000
0.00200000	959.30000000	953.10000000
0.00252020	541.50000000	535.80000000
0.00252020	1979.00000000	1924.00000000
0.00257212	1854.00000000	1802.00000000
0.00262510	1750.00000000	1703.00000000
0.00262510	2433.00000000	2360.00000000
0.00274267	2183.00000000	2119.00000000
0.00286550	1961.00000000	1906.00000000
0.00286550	2243.00000000	2179.00000000
0.00300000	2011.00000000	1956.00000000
0.00400000	970.30000000	947.50000000
0.00500000	545.00000000	532.80000000
0.00600000	337.30000000	329.50000000
0.00800000	156.50000000	152.20000000
0.01000000	85.76000000	82.75000000
0.01500000	28.54000000	26.84000000
0.01999950	13.08000000	11.93000000
0.01999950	80.55000000	32.93000000
0.02000000	80.54000000	33.36000000
0.03000000	28.10000000	16.64000000
0.04000000	12.94000000	8.75700000
0.05000000	7.03700000	5.07400000
0.06000000	4.27400000	3.17800000
0.08000000	1.96200000	1.47700000
0.10000000	1.09600000	0.80420000
0.15000000	0.42080000	0.26930000
0.20000000	0.24230000	0.13160000
0.30000000	0.13790000	0.05919000
0.40000000	0.10470000	0.04117000
0.50000000	0.08848000	0.03437000
0.60000000	0.07851000	0.03104000
0.80000000	0.06619000	0.02764000
1.00000000	0.05837000	0.02567000
1.25000000	0.05167000	0.02390000
1.50000000	0.04713000	0.02263000
2.00000000	0.04163000	0.02118000
3.00000000	0.03675000	0.02046000
4.00000000	0.03496000	0.02084000
5.00000000	0.03439000	0.02153000
6.00000000	0.03440000	0.02231000
8.00000000	0.03523000	0.02382000
10.00000000	0.03650000	0.02513000
15.00000000	0.03978000	0.02731000
20.00000000	0.04264000	0.02840000
