Energy(MeV)	u/rho(cm2/g)	u_en/rho(cm2/g)
0.00100000	4600.00000000	4592.00000000
0.00150000	1786.00000000	1780.00000000
0.00200000	889.30000000	883.20000000
0.00237050	584.40000000	578.60000000
0.00237050	2181.00000000	2125.00000000
0.00241714	2045.00000000	1992.00000000
0.00246470	1935.00000000	1886.00000000
0.00246470	2694.00000000	2619.00000000
0.00257857	2412.00000000	2347.00000000
0.00269770	2161.00000000	2104.00000000
0.00269770	2470.00000000	2405.00000000
0.00300000	1906.00000000	1859.00000000
0.00400000	916.40000000	897.00000000
0.00500000	513.40000000	502.70000000
0.00600000	317.20000000	310.30000000
0.00800000	146.90000000	142.90000000
0.01000000	80.38000000	77.54000000
0.01500000	26.72000000	25.08000000
0.01898560	14.09000000	12.91000000
0.01898560	87.84000000	37.46000000
0.02000000	77.12000000	34.93000000
0.03000000	26.66000000	16.48000000
0.04000000	12.23000000	8.51100000
0.05000000	6.64400000	4.88400000
0.06000000	4.03200000	3.04000000
0.08000000	1.85200000	1.40300000
0.10000000	1.03700000	0.76080000
0.15000000	0.40230000	0.25420000
0.20000000	0.23440000	0.12470000
0.30000000	0.13570000	0.05705000
0.40000000	0.10400000	0.04026000
0.50000000	0.08831000	0.03396000
0.60000000	0.07858000	0.03085000
0.80000000	0.06642000	0.02764000
1.00000000	0.05866000	0.02575000
1.25000000	0.05196000	0.02402000
1.50000000	0.04741000	0.02276000
2.00000000	0.04185000	0.02130000
3.00000000	0.03686000	0.02054000
4.00000000	0.03498000	0.02086000
5.00000000	0.03436000	0.02153000
6.00000000	0.03432000	0.02227000
8.00000000	0.03508000	0.02375000
10.00000000	0.03628000	0.02503000
15.00000000	0.03944000	0.02718000
20.00000000	0.04224000	0.02828000
