Energy(MeV)	u/rho(cm2/g)	u_en/rho(cm2/g)
0.00100000	4032.00000000	4019.00000000
0.00150000	1801.00000000	1790.00000000
0.00196010	1023.00000000	1012.00000000
0.00196010	2003.00000000	1969.00000000
0.00200000	2218.00000000	2179.00000000
0.00203080	2622.00000000	2573.00000000
0.00203080	2864.00000000	2810.00000000
0.00223385	2852.00000000	2797.00000000
0.00245720	2546.00000000	2498.00000000
0.00245720	2948.00000000	2893.00000000
0.00261935	2524.00000000	2478.00000000
0.00279220	2161.00000000	2123.00000000
0.00279220	2296.00000000	2255.00000000
0.00300000	1938.00000000	1904.00000000
0.00304850	1869.00000000	1836.00000000
0.00304850	1949.00000000	1915.00000000
0.00400000	1023.00000000	1004.00000000
0.00500000	593.60000000	581.30000000
0.00600000	377.60000000	368.20000000
0.00800000	183.60000000	177.00000000
0.01000000	104.50000000	99.40000000
0.01087090	84.58000000	79.94000000
0.01087090	212.10000000	176.20000000
0.01160330	186.00000000	149.50000000
0.01238500	150.30000000	127.10000000
0.01238500	206.00000000	165.40000000
0.01267310	195.60000000	157.60000000
0.01296800	184.60000000	149.40000000
0.01296800	212.90000000	171.10000000
0.01500000	147.80000000	121.80000000
0.02000000	70.39000000	59.99000000
0.03000000	24.43000000	21.20000000
0.04000000	11.49000000	9.90700000
0.05000000	6.41400000	5.43700000
0.06000000	4.00200000	3.31400000
0.07387080	2.36000000	1.87900000
0.07387080	10.16000000	2.88800000
0.08000000	8.29000000	2.75600000
0.10000000	4.69600000	2.09200000
0.15000000	1.68000000	0.96960000
0.20000000	0.83270000	0.51500000
0.30000000	0.34140000	0.20850000
0.40000000	0.20110000	0.11610000
0.50000000	0.14280000	0.07813000
0.60000000	0.11250000	0.05923000
0.80000000	0.08224000	0.04157000
1.00000000	0.06705000	0.03351000
1.25000000	0.05625000	0.02802000
1.50000000	0.05034000	0.02511000
2.00000000	0.04458000	0.02272000
3.00000000	0.04100000	0.02248000
4.00000000	0.04065000	0.02376000
5.00000000	0.04134000	0.02523000
6.00000000	0.04244000	0.02663000
8.00000000	0.04511000	0.02901000
10.00000000	0.04791000	0.03086000
15.00000000	0.05442000	0.03375000
20.00000000	0.05956000	0.03486000
