Energy(MeV)	u/rho(cm2/g)	u_en/rho(cm2/g)
0.00100000	1913.00000000	1910.00000000
0.00150000	654.70000000	652.20000000
0.00200000	301.80000000	299.60000000
0.00214550	249.40000000	247.30000000
0.00214550	2473.00000000	2343.00000000
0.00300000	1118.00000000	1074.00000000
0.00400000	524.20000000	507.90000000
0.00500000	286.00000000	278.20000000
0.00600000	172.60000000	168.20000000
0.00800000	76.60000000	74.57000000
0.01000000	40.35000000	39.12000000
0.01500000	12.39000000	11.79000000
0.02000000	5.35200000	4.93900000
0.03000000	1.70000000	1.42200000
0.04000000	0.80960000	0.58500000
0.05000000	0.49160000	0.29650000
0.06000000	0.34940000	0.17350000
0.08000000	0.23240000	0.08083000
0.10000000	0.18650000	0.05068000
0.15000000	0.14320000	0.03188000
0.20000000	0.12500000	0.02899000
0.30000000	0.10550000	0.02870000
0.40000000	0.09359000	0.02892000
0.50000000	0.08511000	0.02891000
0.60000000	0.07854000	0.02869000
0.80000000	0.06884000	0.02793000
1.00000000	0.06182000	0.02698000
1.25000000	0.05526000	0.02575000
1.50000000	0.05039000	0.02462000
2.00000000	0.04358000	0.02279000
3.00000000	0.03590000	0.02049000
4.00000000	0.03172000	0.01921000
5.00000000	0.02915000	0.01846000
6.00000000	0.02747000	0.01801000
8.00000000	0.02552000	0.01760000
10.00000000	0.02452000	0.01747000
15.00000000	0.02364000	0.01754000
20.00000000	0.02363000	0.01771000
