Energy(MeV)	u/rho(cm2/g)	u_en/rho(cm2/g)
0.00100000	6538.00000000	6529.00000000
0.00150000	2579.00000000	2571.00000000
0.00200000	1292.00000000	1285.00000000
0.00300000	473.00000000	466.80000000
0.00317330	410.60000000	404.70000000
0.00317330	1355.00000000	1305.00000000
0.00325085	1287.00000000	1238.00000000
0.00333030	1215.00000000	1171.00000000
0.00333030	1664.00000000	1597.00000000
0.00346459	1518.00000000	1456.00000000
0.00360430	1379.00000000	1326.00000000
0.00360430	1582.00000000	1520.00000000
0.00400000	1227.00000000	1182.00000000
0.00500000	691.20000000	668.80000000
0.00600000	430.80000000	417.50000000
0.00800000	201.70000000	195.30000000
0.01000000	111.00000000	107.00000000
0.01500000	37.15000000	35.11000000
0.02000000	17.04000000	15.71000000
0.02435030	10.03000000	9.01600000
0.02435030	58.98000000	22.08000000
0.03000000	34.65000000	16.69000000
0.04000000	16.14000000	9.61100000
0.05000000	8.85000000	5.83300000
0.06000000	5.39900000	3.75900000
0.08000000	2.48100000	1.80400000
0.10000000	1.37700000	1.00000000
0.15000000	0.51150000	0.33970000
0.20000000	0.28270000	0.16440000
0.30000000	0.15060000	0.07007000
0.40000000	0.11030000	0.04611000
0.50000000	0.09134000	0.03704000
0.60000000	0.08010000	0.03262000
0.80000000	0.06669000	0.02828000
1.00000000	0.05849000	0.02594000
1.25000000	0.05159000	0.02395000
1.50000000	0.04702000	0.02259000
2.00000000	0.04162000	0.02112000
3.00000000	0.03704000	0.02056000
4.00000000	0.03552000	0.02111000
5.00000000	0.03518000	0.02196000
6.00000000	0.03537000	0.02284000
8.00000000	0.03651000	0.02453000
10.00000000	0.03802000	0.02595000
15.00000000	0.04181000	0.02832000
20.00000000	0.04501000	0.02944000
