Energy(MeV)	u/rho(cm2/g)	u_en/rho(cm2/g)
0.00100000	2056.00000000	2046.00000000
0.00101336	2007.00000000	1997.00000000
0.00102690	1959.00000000	1949.00000000
0.00102690	2729.00000000	2715.00000000
0.00103913	3894.00000000	3874.00000000
0.00105150	5830.00000000	5801.00000000
0.00105150	7242.00000000	7205.00000000
0.00119448	7232.00000000	7196.00000000
0.00135690	5687.00000000	5660.00000000
0.00135690	6555.00000000	6524.00000000
0.00141299	5985.00000000	5956.00000000
0.00147140	5466.00000000	5439.00000000
0.00147140	5799.00000000	5770.00000000
0.00150000	5553.00000000	5526.00000000
0.00165300	4497.00000000	4474.00000000
0.00165300	4699.00000000	4676.00000000
0.00200000	3048.00000000	3031.00000000
0.00300000	1162.00000000	1152.00000000
0.00400000	570.90000000	563.30000000
0.00500000	326.00000000	319.60000000
0.00600000	205.30000000	199.80000000
0.00645930	170.20000000	164.90000000
0.00645930	467.80000000	426.70000000
0.00673036	422.60000000	386.40000000
0.00701280	380.50000000	348.70000000
0.00701280	517.40000000	465.70000000
0.00721737	488.40000000	435.90000000
0.00742790	449.40000000	406.20000000
0.00742790	518.40000000	466.90000000
0.00800000	431.40000000	390.80000000
0.01000000	244.00000000	224.00000000
0.01500000	84.11000000	77.99000000
0.02000000	39.16000000	36.14000000
0.03000000	13.27000000	11.93000000
0.04000000	6.18100000	5.36600000
0.04518400	4.49100000	3.81600000
0.04518400	22.65000000	6.93000000
0.05000000	17.35000000	6.36300000
0.06000000	10.87000000	4.98900000
0.08000000	5.10700000	2.90400000
0.10000000	2.84000000	1.77600000
0.15000000	1.00500000	0.66990000
0.20000000	0.50980000	0.33020000
0.30000000	0.22730000	0.13010000
0.40000000	0.14620000	0.07517000
0.50000000	0.11150000	0.05369000
0.60000000	0.09276000	0.04323000
0.80000000	0.07280000	0.03349000
1.00000000	0.06188000	0.02889000
1.25000000	0.05350000	0.02553000
1.50000000	0.04849000	0.02360000
2.00000000	0.04308000	0.02184000
3.00000000	0.03925000	0.02166000
4.00000000	0.03849000	0.02273000
5.00000000	0.03882000	0.02405000
6.00000000	0.03959000	0.02532000
8.00000000	0.04169000	0.02754000
10.00000000	0.04401000	0.02933000
15.00000000	0.04946000	0.03222000
20.00000000	0.05380000	0.03344000
