Energy(MeV)	u/rho(cm2/g)	u_en/rho(cm2/g)
0.00100000	4433.00000000	4421.00000000
0.00150000	1986.00000000	1974.00000000
0.00200000	1081.00000000	1069.00000000
0.00212160	950.60000000	939.30000000
0.00212160	1034.00000000	1021.00000000
0.00216138	1431.00000000	1405.00000000
0.00220190	2341.00000000	2292.00000000
0.00220190	2487.00000000	2434.00000000
0.00241348	2512.00000000	2457.00000000
0.00264540	2307.00000000	2258.00000000
0.00264540	2663.00000000	2606.00000000
0.00300000	1965.00000000	1925.00000000
0.00302650	1923.00000000	1884.00000000
0.00302650	2041.00000000	2000.00000000
0.00315838	1844.00000000	1806.00000000
0.00329600	1671.00000000	1637.00000000
0.00329600	1742.00000000	1707.00000000
0.00400000	1100.00000000	1078.00000000
0.00500000	640.20000000	626.20000000
0.00600000	408.30000000	397.90000000
0.00800000	198.70000000	191.70000000
0.01000000	113.20000000	107.80000000
0.01156370	78.44000000	73.88000000
0.01156370	194.60000000	159.40000000
0.01238870	161.80000000	133.90000000
0.01327260	134.90000000	112.70000000
0.01327260	185.30000000	146.30000000
0.01357290	184.80000000	139.50000000
0.01387990	166.60000000	132.50000000
0.01387990	192.10000000	151.70000000
0.01500000	157.80000000	126.50000000
0.02000000	75.74000000	63.33000000
0.03000000	26.41000000	22.68000000
0.04000000	12.45000000	10.67000000
0.05000000	6.95400000	5.87900000
0.06000000	4.33900000	3.59500000
0.07839480	2.20300000	1.73800000
0.07839480	9.30100000	2.62700000
0.08000000	8.73100000	2.59200000
0.10000000	4.99300000	2.08100000
0.15000000	1.79500000	1.00600000
0.20000000	0.88960000	0.54130000
0.30000000	0.36250000	0.22160000
0.40000000	0.21180000	0.12330000
0.50000000	0.14920000	0.08265000
0.60000000	0.11680000	0.06230000
0.80000000	0.08456000	0.04325000
1.00000000	0.06857000	0.03459000
1.25000000	0.05727000	0.02871000
1.50000000	0.05112000	0.02560000
2.00000000	0.04522000	0.02307000
3.00000000	0.04160000	0.02279000
4.00000000	0.04124000	0.02408000
5.00000000	0.04196000	0.02557000
6.00000000	0.04310000	0.02699000
8.00000000	0.04584000	0.02939000
10.00000000	0.04872000	0.03127000
15.00000000	0.05537000	0.03418000
20.00000000	0.06064000	0.03529000
