Energy(MeV)	u/rho(cm2/g)	u_en/rho(cm2/g)
0.00100000	6201.00000000	6187.00000000
0.00102840	5895.00000000	5881.00000000
0.00105760	5602.00000000	5588.00000000
0.00105760	5683.00000000	5669.00000000
0.00113049	5019.00000000	5005.00000000
0.00120840	4424.00000000	4411.00000000
0.00120840	4516.00000000	4502.00000000
0.00150000	2950.00000000	2937.00000000
0.00200000	1620.00000000	1608.00000000
0.00300000	666.40000000	655.50000000
0.00310490	616.90000000	606.10000000
0.00310490	1715.00000000	1657.00000000
0.00317584	1506.00000000	1457.00000000
0.00324840	1374.00000000	1331.00000000
0.00324840	2039.00000000	1965.00000000
0.00350960	1647.00000000	1587.00000000
0.00379180	1342.00000000	1297.00000000
0.00379180	1558.00000000	1506.00000000
0.00400000	1367.00000000	1322.00000000
0.00448950	1024.00000000	991.70000000
0.00448950	1086.00000000	1052.00000000
0.00465278	999.50000000	964.30000000
0.00482200	912.90000000	884.60000000
0.00482200	952.20000000	922.80000000
0.00500000	874.10000000	847.20000000
0.00600000	561.30000000	543.80000000
0.00800000	276.90000000	266.90000000
0.01000000	158.90000000	151.90000000
0.01500000	57.60000000	53.53000000
0.01544440	53.55000000	49.62000000
0.01544440	125.30000000	95.81000000
0.01689610	98.39000000	76.77000000
0.01848430	77.66000000	61.60000000
0.01848430	108.10000000	78.35000000
0.01885680	112.60000000	75.00000000
0.01923670	97.99000000	71.75000000
0.01923670	112.80000000	81.72000000
0.02000000	102.30000000	74.96000000
0.03000000	36.64000000	29.13000000
0.04000000	17.50000000	14.29000000
0.05000000	9.85000000	8.08800000
0.06000000	6.16600000	5.03900000
0.08000000	2.97100000	2.36300000
0.10000000	1.71200000	1.30800000
0.10392200	1.56000000	1.18100000
0.10392200	5.82600000	1.63800000
0.15000000	2.35500000	1.09100000
0.20000000	1.17200000	0.64400000
0.30000000	0.46960000	0.28110000
0.40000000	0.26620000	0.15800000
0.50000000	0.18170000	0.10500000
0.60000000	0.13830000	0.07772000
0.80000000	0.09579000	0.05165000
1.00000000	0.07535000	0.03983000
1.25000000	0.06141000	0.03191000
1.50000000	0.05415000	0.02779000
2.00000000	0.04751000	0.02452000
3.00000000	0.04348000	0.02387000
4.00000000	0.04304000	0.02509000
5.00000000	0.04379000	0.02658000
6.00000000	0.04500000	0.02802000
8.00000000	0.04793000	0.03050000
10.00000000	0.05102000	0.03245000
15.00000000	0.05815000	0.03549000
20.00000000	0.06383000	0.03668000
