Energy(MeV)	u/rho(cm2/g)	u_en/rho(cm2/g)
0.00100000	3872.00000000	3860.00000000
0.00150000	1729.00000000	1717.00000000
0.00182240	1147.00000000	1135.00000000
0.00182240	1152.00000000	1141.00000000
0.00188459	1251.00000000	1235.00000000
0.00194890	2689.00000000	2642.00000000
0.00194890	3802.00000000	3730.00000000
0.00200000	3773.00000000	3702.00000000
0.00236730	2696.00000000	2648.00000000
0.00236730	3124.00000000	3069.00000000
0.00251955	2686.00000000	2639.00000000
0.00268160	2309.00000000	2270.00000000
0.00268160	2454.00000000	2412.00000000
0.00280386	2210.00000000	2174.00000000
0.00293170	1992.00000000	1959.00000000
0.00293170	2078.00000000	2043.00000000
0.00300000	1972.00000000	1939.00000000
0.00400000	994.30000000	977.10000000
0.00500000	575.90000000	564.20000000
0.00600000	366.00000000	356.90000000
0.00800000	177.80000000	171.40000000
0.01000000	101.10000000	96.10000000
0.01053530	88.58000000	83.86000000
0.01053530	223.40000000	186.90000000
0.01122450	196.40000000	159.40000000
0.01195870	160.00000000	136.00000000
0.01195870	219.10000000	177.60000000
0.01223940	207.90000000	169.00000000
0.01252670	196.10000000	160.00000000
0.01252670	226.20000000	183.40000000
0.01500000	144.00000000	120.10000000
0.02000000	68.35000000	58.76000000
0.03000000	23.67000000	20.64000000
0.04000000	11.12000000	9.61400000
0.05000000	6.20600000	5.26500000
0.06000000	3.87200000	3.20500000
0.07167640	2.46400000	1.97000000
0.07167640	10.73000000	3.05800000
0.08000000	8.06900000	2.83200000
0.10000000	4.58700000	2.10700000
0.15000000	1.63700000	0.95800000
0.20000000	0.81190000	0.50540000
0.30000000	0.33390000	0.20380000
0.40000000	0.19760000	0.11350000
0.50000000	0.14090000	0.07658000
0.60000000	0.11140000	0.05822000
0.80000000	0.08179000	0.04109000
1.00000000	0.06688000	0.03327000
1.25000000	0.05627000	0.02794000
1.50000000	0.05038000	0.02508000
2.00000000	0.04463000	0.02273000
3.00000000	0.04105000	0.02251000
4.00000000	0.04068000	0.02380000
5.00000000	0.04137000	0.02527000
6.00000000	0.04246000	0.02667000
8.00000000	0.04511000	0.02906000
10.00000000	0.04790000	0.03092000
15.00000000	0.05437000	0.03382000
20.00000000	0.05953000	0.03496000
