Energy(MeV)	u/rho(cm2/g)	u_en/rho(cm2/g)
0.00100000	6169.00000000	6160.00000000
0.00150000	2426.00000000	2419.00000000
0.00200000	1214.00000000	1207.00000000
0.00300000	444.10000000	438.20000000
0.00300380	442.70000000	436.80000000
0.00300380	1513.00000000	1461.00000000
0.00307413	1422.00000000	1372.00000000
0.00314610	1337.00000000	1292.00000000
0.00314610	1847.00000000	1777.00000000
0.00327631	1671.00000000	1608.00000000
0.00341190	1512.00000000	1458.00000000
0.00341190	1731.00000000	1669.00000000
0.00400000	1170.00000000	1132.00000000
0.00500000	658.90000000	639.60000000
0.00600000	410.10000000	398.50000000
0.00800000	191.50000000	185.70000000
0.01000000	105.30000000	101.50000000
0.01500000	35.18000000	33.22000000
0.02000000	16.13000000	14.84000000
0.02321990	10.79000000	9.73600000
0.02321990	64.14000000	24.58000000
0.03000000	33.30000000	16.99000000
0.04000000	15.44000000	9.52000000
0.05000000	8.44800000	5.70600000
0.06000000	5.14700000	3.64900000
0.08000000	2.36500000	1.73700000
0.10000000	1.31400000	0.95810000
0.15000000	0.49160000	0.32410000
0.20000000	0.27420000	0.15710000
0.30000000	0.14850000	0.06776000
0.40000000	0.10970000	0.04517000
0.50000000	0.09134000	0.03663000
0.60000000	0.08035000	0.03247000
0.80000000	0.06711000	0.02834000
1.00000000	0.05894000	0.02608000
1.25000000	0.05204000	0.02413000
1.50000000	0.04744000	0.02278000
2.00000000	0.04197000	0.02131000
3.00000000	0.03728000	0.02071000
4.00000000	0.03568000	0.02122000
5.00000000	0.03529000	0.02204000
6.00000000	0.03542000	0.02290000
8.00000000	0.03650000	0.02456000
10.00000000	0.03797000	0.02597000
15.00000000	0.04166000	0.02831000
20.00000000	0.04481000	0.02943000
