Energy(MeV)	u/rho(cm2/g)	u_en/rho(cm2/g)
0.00100000	5826.00000000	5812.00000000
0.00104738	5354.00000000	5340.00000000
0.00109700	4909.00000000	4895.00000000
0.00109700	5013.00000000	5000.00000000
0.00150000	2719.00000000	2706.00000000
0.00200000	1490.00000000	1478.00000000
0.00289240	663.40000000	652.60000000
0.00289240	2319.00000000	2243.00000000
0.00300000	1554.00000000	1507.00000000
0.00302150	1524.00000000	1479.00000000
0.00302150	2470.00000000	2384.00000000
0.00326957	1867.00000000	1804.00000000
0.00353800	1479.00000000	1433.00000000
0.00353800	1710.00000000	1657.00000000
0.00400000	1266.00000000	1229.00000000
0.00415900	1148.00000000	1115.00000000
0.00415900	1217.00000000	1182.00000000
0.00431748	1112.00000000	1080.00000000
0.00448200	1017.00000000	987.70000000
0.00448200	1061.00000000	1031.00000000
0.00500000	816.30000000	793.10000000
0.00600000	524.00000000	508.50000000
0.00800000	257.70000000	248.50000000
0.01000000	147.70000000	141.10000000
0.01461940	56.97000000	52.96000000
0.01461940	134.40000000	104.20000000
0.01500000	125.90000000	98.07000000
0.01733710	85.57000000	68.51000000
0.01733710	118.50000000	87.24000000
0.01768950	122.50000000	83.66000000
0.01804900	107.70000000	80.02000000
0.01804900	124.10000000	91.30000000
0.02000000	95.63000000	72.31000000
0.03000000	34.08000000	27.60000000
0.04000000	16.24000000	13.42000000
0.05000000	9.12500000	7.55200000
0.06000000	5.70600000	4.68600000
0.08000000	2.74900000	2.18500000
0.09840400	1.64900000	1.25800000
0.09840400	6.37100000	1.77900000
0.10000000	6.08600000	1.76600000
0.15000000	2.21500000	1.07300000
0.20000000	1.10100000	0.62040000
0.30000000	0.44200000	0.26680000
0.40000000	0.25180000	0.14960000
0.50000000	0.17280000	0.09941000
0.60000000	0.13220000	0.07377000
0.80000000	0.09230000	0.04942000
1.00000000	0.07303000	0.03832000
1.25000000	0.05984000	0.03089000
1.50000000	0.05290000	0.02704000
2.00000000	0.04649000	0.02396000
3.00000000	0.04264000	0.02344000
4.00000000	0.04224000	0.02469000
5.00000000	0.04298000	0.02620000
6.00000000	0.04418000	0.02766000
8.00000000	0.04705000	0.03016000
10.00000000	0.05007000	0.03216000
15.00000000	0.05704000	0.03534000
20.00000000	0.06260000	0.03670000
