Energy(MeV)	u/rho(cm2/g)	u_en/rho(cm2/g)
0.00100000	2429.00000000	2426.00000000
0.00150000	834.20000000	831.40000000
0.00200000	385.30000000	382.80000000
0.00247200	216.80000000	214.50000000
0.00247200	2070.00000000	1935.00000000
0.00300000	1339.00000000	1265.00000000
0.00400000	633.80000000	606.60000000
0.00500000	348.70000000	336.00000000
0.00600000	211.60000000	204.60000000
0.00800000	94.65000000	91.71000000
0.01000000	50.12000000	48.47000000
0.01500000	15.50000000	14.77000000
0.02000000	6.70800000	6.23500000
0.03000000	2.11300000	1.80900000
0.04000000	0.98720000	0.74660000
0.05000000	0.58490000	0.37790000
0.06000000	0.40530000	0.21990000
0.08000000	0.25850000	0.10000000
0.10000000	0.20200000	0.06052000
0.15000000	0.15060000	0.03516000
0.20000000	0.13020000	0.03080000
0.30000000	0.10910000	0.02983000
0.40000000	0.09665000	0.02991000
0.50000000	0.08781000	0.02984000
0.60000000	0.08102000	0.02959000
0.80000000	0.07098000	0.02878000
1.00000000	0.06373000	0.02780000
1.25000000	0.05697000	0.02652000
1.50000000	0.05193000	0.02535000
2.00000000	0.04498000	0.02349000
3.00000000	0.03715000	0.02118000
4.00000000	0.03293000	0.01993000
5.00000000	0.03036000	0.01923000
6.00000000	0.02872000	0.01884000
8.00000000	0.02682000	0.01850000
10.00000000	0.02589000	0.01845000
15.00000000	0.02517000	0.01864000
20.00000000	0.02529000	0.01889000
