Energy(MeV)	u/rho(cm2/g)	u_en/rho(cm2/g)
0.00100000	8582.00000000	8568.00000000
0.00150000	3491.00000000	3481.00000000
0.00200000	1767.00000000	1759.00000000
0.00300000	653.60000000	646.90000000
0.00400000	316.90000000	311.30000000
0.00413220	291.80000000	286.30000000
0.00413220	869.10000000	825.20000000
0.00425449	830.80000000	786.50000000
0.00438040	777.60000000	739.20000000
0.00438040	1050.00000000	990.60000000
0.00453657	974.30000000	917.80000000
0.00469830	893.90000000	845.70000000
0.00469830	1029.00000000	972.50000000
0.00500000	884.60000000	837.70000000
0.00600000	556.90000000	530.50000000
0.00800000	263.10000000	251.80000000
0.01000000	145.90000000	139.60000000
0.01500000	49.23000000	46.57000000
0.02000000	22.68000000	21.05000000
0.03000000	7.63100000	6.75500000
0.03049120	7.30700000	6.45200000
0.03049120	40.73000000	13.91000000
0.04000000	20.27000000	9.78900000
0.05000000	11.20000000	6.40000000
0.06000000	6.87900000	4.31100000
0.08000000	3.17600000	2.17300000
0.10000000	1.75800000	1.23700000
0.15000000	0.63610000	0.43120000
0.20000000	0.33810000	0.20840000
0.30000000	0.16770000	0.08504000
0.40000000	0.11720000	0.05288000
0.50000000	0.09453000	0.04061000
0.60000000	0.08153000	0.03465000
0.80000000	0.06670000	0.02896000
1.00000000	0.05797000	0.02608000
1.25000000	0.05086000	0.02378000
1.50000000	0.04628000	0.02230000
2.00000000	0.04105000	0.02081000
3.00000000	0.03686000	0.02043000
4.00000000	0.03567000	0.02118000
5.00000000	0.03559000	0.02219000
6.00000000	0.03598000	0.02321000
8.00000000	0.03745000	0.02509000
10.00000000	0.03921000	0.02664000
15.00000000	0.04351000	0.02920000
20.00000000	0.04704000	0.03038000
