Energy(MeV)	u/rho(cm2/g)	u_en/rho(cm2/g)
0.00100000	2317.00000000	2312.00000000
0.00119825	1512.00000000	1506.00000000
0.00143580	981.40000000	976.00000000
0.00143580	4347.00000000	4287.00000000
0.00145586	4057.00000000	4002.00000000
0.00147620	3907.00000000	3855.00000000
0.00147620	5186.00000000	5112.00000000
0.00150000	5336.00000000	5260.00000000
0.00165390	4342.00000000	4284.00000000
0.00165390	4915.00000000	4849.00000000
0.00200000	3098.00000000	3062.00000000
0.00300000	1116.00000000	1104.00000000
0.00400000	525.20000000	518.70000000
0.00500000	289.60000000	285.10000000
0.00600000	177.30000000	173.70000000
0.00800000	81.16000000	78.65000000
0.01000000	44.14000000	42.21000000
0.01265780	23.18000000	21.73000000
0.01265780	158.90000000	85.99000000
0.01500000	103.30000000	62.70000000
0.02000000	48.18000000	33.52000000
0.03000000	15.96000000	12.40000000
0.04000000	7.18400000	5.79600000
0.05000000	3.86400000	3.14300000
0.06000000	2.34100000	1.88600000
0.08000000	1.09000000	0.83320000
0.10000000	0.62780000	0.44260000
0.15000000	0.27030000	0.14830000
0.20000000	0.17420000	0.07695000
0.30000000	0.11440000	0.04113000
0.40000000	0.09299000	0.03261000
0.50000000	0.08129000	0.02941000
0.60000000	0.07350000	0.02775000
0.80000000	0.06314000	0.02581000
1.00000000	0.05619000	0.02446000
1.25000000	0.04999000	0.02306000
1.50000000	0.04564000	0.02195000
2.00000000	0.04010000	0.02052000
3.00000000	0.03476000	0.01947000
4.00000000	0.03247000	0.01944000
5.00000000	0.03145000	0.01978000
6.00000000	0.03105000	0.02025000
8.00000000	0.03119000	0.02130000
10.00000000	0.03186000	0.02226000
15.00000000	0.03395000	0.02394000
20.00000000	0.03599000	0.02487000
