Energy(MeV)	u/rho(cm2/g)	u_en/rho(cm2/g)
0.00100000	1570.00000000	1567.00000000
0.00150000	535.50000000	533.10000000
0.00183890	309.20000000	307.00000000
0.00183890	3192.00000000	3059.00000000
0.00200000	2777.00000000	2669.00000000
0.00300000	978.40000000	951.60000000
0.00400000	452.90000000	442.70000000
0.00500000	245.00000000	240.00000000
0.00600000	147.00000000	143.90000000
0.00800000	64.68000000	63.13000000
0.01000000	33.89000000	32.89000000
0.01500000	10.34000000	9.79400000
0.02000000	4.46400000	4.07600000
0.03000000	1.43600000	1.16400000
0.04000000	0.70120000	0.47820000
0.05000000	0.43850000	0.24300000
0.06000000	0.32070000	0.14340000
0.08000000	0.22280000	0.06896000
0.10000000	0.18350000	0.04513000
0.15000000	0.14480000	0.03086000
0.20000000	0.12750000	0.02905000
0.30000000	0.10820000	0.02932000
0.40000000	0.09614000	0.02968000
0.50000000	0.08748000	0.02971000
0.60000000	0.08077000	0.02951000
0.80000000	0.07082000	0.02875000
1.00000000	0.06361000	0.02778000
1.25000000	0.05688000	0.02652000
1.50000000	0.05183000	0.02535000
2.00000000	0.04480000	0.02345000
3.00000000	0.03678000	0.02101000
4.00000000	0.03240000	0.01963000
5.00000000	0.02967000	0.01878000
6.00000000	0.02788000	0.01827000
8.00000000	0.02574000	0.01773000
10.00000000	0.02462000	0.01753000
15.00000000	0.02352000	0.01746000
20.00000000	0.02338000	0.01757000
