Energy(MeV)	u/rho(cm2/g)	u_en/rho(cm2/g)
0.00100000	2107.00000000	2097.00000000
0.00103933	1963.00000000	1953.00000000
0.00108020	1827.00000000	1817.00000000
0.00108020	2635.00000000	2620.00000000
0.00109302	3837.00000000	3816.00000000
0.00110600	5613.00000000	5582.00000000
0.00110600	6852.00000000	6814.00000000
0.00125312	6641.00000000	6605.00000000
0.00141980	5262.00000000	5234.00000000
0.00141980	6072.00000000	6039.00000000
0.00150000	5358.00000000	5329.00000000
0.00154070	5046.00000000	5018.00000000
0.00154070	5355.00000000	5325.00000000
0.00162921	4740.00000000	4714.00000000
0.00172280	4189.00000000	4165.00000000
0.00172280	4376.00000000	4352.00000000
0.00200000	3120.00000000	3102.00000000
0.00300000	1193.00000000	1183.00000000
0.00400000	587.30000000	579.50000000
0.00500000	335.60000000	329.10000000
0.00600000	211.50000000	205.90000000
0.00671620	158.70000000	153.60000000
0.00671620	433.40000000	393.30000000
0.00700767	389.80000000	354.70000000
0.00731180	349.60000000	318.90000000
0.00731180	475.60000000	425.50000000
0.00752130	450.10000000	398.80000000
0.00773680	414.10000000	372.10000000
0.00773680	477.70000000	427.60000000
0.00800000	440.10000000	395.10000000
0.01000000	249.90000000	227.80000000
0.01500000	86.33000000	79.72000000
0.02000000	40.25000000	37.06000000
0.03000000	13.65000000	12.27000000
0.04000000	6.36200000	5.53200000
0.04683420	4.20800000	3.56200000
0.04683420	21.00000000	6.37800000
0.05000000	17.74000000	6.09400000
0.06000000	11.07000000	4.87200000
0.08000000	5.21200000	2.89300000
0.10000000	2.90100000	1.78600000
0.15000000	1.02700000	0.68060000
0.20000000	0.51920000	0.33660000
0.30000000	0.22960000	0.13260000
0.40000000	0.14660000	0.07620000
0.50000000	0.11120000	0.05411000
0.60000000	0.09218000	0.04334000
0.80000000	0.07201000	0.03333000
1.00000000	0.06106000	0.02862000
1.25000000	0.05271000	0.02522000
1.50000000	0.04773000	0.02325000
2.00000000	0.04240000	0.02150000
3.00000000	0.03868000	0.02133000
4.00000000	0.03797000	0.02241000
5.00000000	0.03833000	0.02372000
6.00000000	0.03912000	0.02498000
8.00000000	0.04124000	0.02719000
10.00000000	0.04355000	0.02896000
15.00000000	0.04899000	0.03180000
20.00000000	0.05335000	0.03302000
