Energy(MeV)	u/rho(cm2/g)	u_en/rho(cm2/g)
0.00100000	8157.00000000	8144.00000000
0.00150000	3296.00000000	3287.00000000
0.00200000	1665.00000000	1657.00000000
0.00300000	614.30000000	607.70000000
0.00392880	311.40000000	305.80000000
0.00392880	928.50000000	884.50000000
0.00400000	939.30000000	894.50000000
0.00415610	846.90000000	807.40000000
0.00415610	1145.00000000	1084.00000000
0.00430764	1060.00000000	1002.00000000
0.00446470	971.20000000	922.10000000
0.00446470	1117.00000000	1059.00000000
0.00500000	847.10000000	806.40000000
0.00600000	529.40000000	506.50000000
0.00800000	250.00000000	240.00000000
0.01000000	138.40000000	132.70000000
0.01500000	46.64000000	44.13000000
0.02000000	21.46000000	19.90000000
0.02920010	7.76000000	6.87600000
0.02920010	43.60000000	15.14000000
0.03000000	41.21000000	14.90000000
0.04000000	19.42000000	9.83500000
0.05000000	10.70000000	6.31400000
0.06000000	6.56400000	4.21100000
0.08000000	3.02900000	2.10100000
0.10000000	1.67600000	1.18900000
0.15000000	0.60910000	0.41190000
0.20000000	0.32600000	0.19900000
0.30000000	0.16390000	0.08179000
0.40000000	0.11560000	0.05138000
0.50000000	0.09374000	0.03980000
0.60000000	0.08113000	0.03417000
0.80000000	0.06662000	0.02878000
1.00000000	0.05800000	0.02601000
1.25000000	0.05095000	0.02379000
1.50000000	0.04638000	0.02233000
2.00000000	0.04112000	0.02085000
3.00000000	0.03686000	0.02044000
4.00000000	0.03561000	0.02115000
5.00000000	0.03548000	0.02213000
6.00000000	0.03583000	0.02312000
8.00000000	0.03724000	0.02496000
10.00000000	0.03895000	0.02649000
15.00000000	0.04315000	0.02901000
20.00000000	0.04662000	0.03018000
