Energy(MeV)	u/rho(cm2/g)	u_en/rho(cm2/g)
0.00100000	3494.00000000	3487.00000000
0.00150000	1347.00000000	1341.00000000
0.00193960	720.70000000	715.20000000
0.00193960	2864.00000000	2807.00000000
0.00200000	2589.00000000	2539.00000000
0.00200680	2571.00000000	2521.00000000
0.00200680	3577.00000000	3501.00000000
0.00210895	3201.00000000	3134.00000000
0.00221630	2842.00000000	2786.00000000
0.00221630	3241.00000000	3176.00000000
0.00300000	1525.00000000	1500.00000000
0.00400000	729.70000000	718.10000000
0.00500000	405.80000000	398.80000000
0.00600000	249.60000000	244.60000000
0.00800000	115.00000000	111.80000000
0.01000000	62.74000000	60.37000000
0.01500000	20.79000000	19.38000000
0.01610460	17.14000000	15.85000000
0.01610460	110.80000000	52.00000000
0.02000000	63.86000000	36.02000000
0.03000000	21.57000000	14.93000000
0.04000000	9.81800000	7.34600000
0.05000000	5.30600000	4.10300000
0.06000000	3.21400000	2.51100000
0.08000000	1.48100000	1.13500000
0.10000000	0.83650000	0.60930000
0.15000000	0.33690000	0.20280000
0.20000000	0.20420000	0.10130000
0.30000000	0.12470000	0.04906000
0.40000000	0.09811000	0.03634000
0.50000000	0.08443000	0.03156000
0.60000000	0.07570000	0.02917000
0.80000000	0.06447000	0.02660000
1.00000000	0.05714000	0.02498000
1.25000000	0.05072000	0.02342000
1.50000000	0.04630000	0.02225000
2.00000000	0.04079000	0.02082000
3.00000000	0.03569000	0.01995000
4.00000000	0.03365000	0.02013000
5.00000000	0.03286000	0.02066000
6.00000000	0.03268000	0.02130000
8.00000000	0.03317000	0.02260000
10.00000000	0.03414000	0.02377000
15.00000000	0.03683000	0.02578000
20.00000000	0.03927000	0.02684000
