Energy(MeV)	u/rho(cm2/g)	u_en/rho(cm2/g)
0.00100000	3510.00000000	3498.00000000
0.00150000	1566.00000000	1555.00000000
0.00173510	1154.00000000	1144.00000000
0.00173510	1417.00000000	1401.00000000
0.00176391	2053.00000000	2024.00000000
0.00179320	3082.00000000	3034.00000000
0.00179320	3421.00000000	3367.00000000
0.00200000	3771.00000000	3711.00000000
0.00219400	2985.00000000	2939.00000000
0.00219400	3464.00000000	3411.00000000
0.00232730	3003.00000000	2957.00000000
0.00246870	2604.00000000	2566.00000000
0.00246870	2768.00000000	2727.00000000
0.00258558	2486.00000000	2449.00000000
0.00270800	2233.00000000	2201.00000000
0.00270800	2329.00000000	2296.00000000
0.00300000	1838.00000000	1812.00000000
0.00400000	922.20000000	907.30000000
0.00500000	532.80000000	522.30000000
0.00600000	338.20000000	329.90000000
0.00800000	163.90000000	157.90000000
0.00988110	95.99000000	91.17000000
0.00988110	244.30000000	207.30000000
0.01000000	237.90000000	202.10000000
0.01113610	179.10000000	154.00000000
0.01113610	244.90000000	201.80000000
0.01140550	239.30000000	191.70000000
0.01168150	218.20000000	181.10000000
0.01168150	251.80000000	207.70000000
0.01500000	134.00000000	114.30000000
0.02000000	63.34000000	55.32000000
0.03000000	21.87000000	19.23000000
0.04000000	10.25000000	8.89900000
0.05000000	5.71700000	4.85400000
0.06000000	3.56900000	2.94700000
0.06741640	2.65200000	2.13900000
0.06741640	11.80000000	3.37900000
0.08000000	7.58700000	2.92400000
0.10000000	4.30200000	2.09200000
0.15000000	1.53100000	0.91880000
0.20000000	0.75980000	0.47840000
0.30000000	0.31490000	0.19150000
0.40000000	0.18810000	0.10690000
0.50000000	0.13520000	0.07248000
0.60000000	0.10760000	0.05545000
0.80000000	0.07981000	0.03960000
1.00000000	0.06567000	0.03235000
1.25000000	0.05545000	0.02736000
1.50000000	0.04977000	0.02468000
2.00000000	0.04413000	0.02245000
3.00000000	0.04057000	0.02227000
4.00000000	0.04018000	0.02354000
5.00000000	0.04082000	0.02499000
6.00000000	0.04188000	0.02638000
8.00000000	0.04446000	0.02874000
10.00000000	0.04717000	0.03058000
15.00000000	0.05350000	0.03349000
20.00000000	0.05852000	0.03464000
