Energy(MeV)	u/rho(cm2/g)	u_en/rho(cm2/g)
0.00100000	2396.00000000	2386.00000000
0.00111409	1956.00000000	1946.00000000
0.00124120	1591.00000000	1581.00000000
0.00124120	2337.00000000	2321.00000000
0.00125799	3515.00000000	3488.00000000
0.00127500	5023.00000000	4984.00000000
0.00127500	5928.00000000	5881.00000000
0.00150000	5314.00000000	5274.00000000
0.00161130	4464.00000000	4431.00000000
0.00161130	5164.00000000	5125.00000000
0.00168769	4635.00000000	4601.00000000
0.00176770	4166.00000000	4135.00000000
0.00176770	4424.00000000	4391.00000000
0.00186493	3929.00000000	3899.00000000
0.00196750	3482.00000000	3456.00000000
0.00196750	3638.00000000	3611.00000000
0.00200000	3507.00000000	3481.00000000
0.00300000	1354.00000000	1342.00000000
0.00400000	669.70000000	660.70000000
0.00500000	383.80000000	376.50000000
0.00600000	242.30000000	236.20000000
0.00751400	136.80000000	131.80000000
0.00751400	365.80000000	326.60000000
0.00800000	313.30000000	281.00000000
0.00825160	288.10000000	259.00000000
0.00825160	392.50000000	344.30000000
0.00847673	368.40000000	323.90000000
0.00870800	344.10000000	303.30000000
0.00870800	397.00000000	348.30000000
0.01000000	281.50000000	250.20000000
0.01500000	98.02000000	89.14000000
0.02000000	45.88000000	41.84000000
0.03000000	15.63000000	14.02000000
0.04000000	7.28800000	6.35700000
0.05000000	4.06400000	3.42200000
0.05199570	3.67200000	3.06800000
0.05199570	17.77000000	5.29100000
0.06000000	12.23000000	4.67300000
0.08000000	5.82600000	2.98600000
0.10000000	3.25300000	1.89900000
0.15000000	1.15100000	0.74740000
0.20000000	0.57750000	0.37360000
0.30000000	0.24980000	0.14700000
0.40000000	0.15620000	0.08354000
0.50000000	0.11670000	0.05842000
0.60000000	0.09562000	0.04614000
0.80000000	0.07365000	0.03474000
1.00000000	0.06196000	0.02942000
1.25000000	0.05321000	0.02565000
1.50000000	0.04808000	0.02352000
2.00000000	0.04272000	0.02166000
3.00000000	0.03908000	0.02151000
4.00000000	0.03848000	0.02266000
5.00000000	0.03894000	0.02402000
6.00000000	0.03981000	0.02532000
8.00000000	0.04206000	0.02758000
10.00000000	0.04449000	0.02937000
15.00000000	0.05017000	0.03224000
20.00000000	0.05470000	0.03343000
