Energy(MeV)	u/rho(cm2/g)	u_en/rho(cm2/g)
0.00100000	5356.00000000	5348.00000000
0.00150000	2092.00000000	2085.00000000
0.00200000	1044.00000000	1037.00000000
0.00267690	507.20000000	501.40000000
0.00267690	1812.00000000	1758.00000000
0.00273443	1699.00000000	1648.00000000
0.00279320	1602.00000000	1555.00000000
0.00279320	2223.00000000	2151.00000000
0.00300000	1862.00000000	1805.00000000
0.00304250	1800.00000000	1745.00000000
0.00304250	2059.00000000	1995.00000000
0.00400000	1036.00000000	1009.00000000
0.00500000	583.60000000	569.40000000
0.00600000	361.90000000	353.00000000
0.00800000	168.30000000	163.50000000
0.01000000	92.31000000	89.08000000
0.01500000	30.76000000	28.98000000
0.02000000	14.10000000	12.90000000
0.02104400	12.29000000	11.17000000
0.02104400	74.81000000	30.14000000
0.03000000	29.93000000	16.93000000
0.04000000	13.81000000	9.07500000
0.05000000	7.52100000	5.31200000
0.06000000	4.57100000	3.34800000
0.08000000	2.09900000	1.56800000
0.10000000	1.16900000	0.85720000
0.15000000	0.44490000	0.28800000
0.20000000	0.25340000	0.14030000
0.30000000	0.14180000	0.06214000
0.40000000	0.10660000	0.04257000
0.50000000	0.08968000	0.03521000
0.60000000	0.07935000	0.03159000
0.80000000	0.06674000	0.02797000
1.00000000	0.05876000	0.02589000
1.25000000	0.05197000	0.02406000
1.50000000	0.04740000	0.02276000
2.00000000	0.04189000	0.02129000
3.00000000	0.03705000	0.02061000
4.00000000	0.03532000	0.02103000
5.00000000	0.03482000	0.02178000
6.00000000	0.03487000	0.02258000
8.00000000	0.03578000	0.02415000
10.00000000	0.03712000	0.02549000
15.00000000	0.04055000	0.02774000
20.00000000	0.04353000	0.02884000
