Energy(MeV)	u/rho(cm2/g)	u_en/rho(cm2/g)
0.00100000	8434.00000000	8419.00000000
0.00100300	8380.00000000	8365.00000000
0.00100600	8326.00000000	8311.00000000
0.00100600	8684.00000000	8668.00000000
0.00150000	3608.00000000	3598.00000000
0.00200000	1832.00000000	1824.00000000
0.00300000	679.20000000	672.60000000
0.00400000	329.70000000	324.00000000
0.00434140	267.80000000	262.50000000
0.00434140	788.20000000	746.00000000
0.00447465	750.40000000	707.80000000
0.00461200	699.50000000	662.90000000
0.00461200	944.50000000	888.00000000
0.00477280	878.20000000	823.70000000
0.00493920	806.20000000	760.00000000
0.00493920	929.20000000	874.40000000
0.00500000	901.40000000	848.70000000
0.00600000	572.10000000	542.30000000
0.00800000	270.20000000	257.80000000
0.01000000	150.10000000	143.30000000
0.01500000	50.78000000	48.02000000
0.02000000	23.41000000	21.75000000
0.03000000	7.87800000	6.99700000
0.03181380	6.73800000	5.92900000
0.03181380	37.19000000	12.51000000
0.04000000	20.64000000	9.48000000
0.05000000	11.45000000	6.33000000
0.06000000	7.04100000	4.30600000
0.08000000	3.25500000	2.19500000
0.10000000	1.80100000	1.25600000
0.15000000	0.64920000	0.44090000
0.20000000	0.34290000	0.21320000
0.30000000	0.16790000	0.08646000
0.40000000	0.11630000	0.05326000
0.50000000	0.09328000	0.04055000
0.60000000	0.08022000	0.03440000
0.80000000	0.06538000	0.02854000
1.00000000	0.05669000	0.02559000
1.25000000	0.04967000	0.02327000
1.50000000	0.04518000	0.02179000
2.00000000	0.04009000	0.02033000
3.00000000	0.03606000	0.01998000
4.00000000	0.03494000	0.02075000
5.00000000	0.03492000	0.02177000
6.00000000	0.03534000	0.02279000
8.00000000	0.03683000	0.02466000
10.00000000	0.03860000	0.02620000
15.00000000	0.04290000	0.02873000
20.00000000	0.04642000	0.02989000
