Energy(MeV)	u/rho(cm2/g)	u_en/rho(cm2/g)
0.00100000	5869.00000000	5860.00000000
0.00150000	2096.00000000	2091.00000000
0.00200000	986.00000000	982.40000000
0.00300000	332.30000000	329.50000000
0.00400000	151.70000000	149.40000000
0.00496640	83.80000000	81.88000000
0.00496640	687.80000000	568.40000000
0.00500000	683.80000000	565.70000000
0.00600000	432.30000000	369.10000000
0.00800000	202.30000000	179.30000000
0.01000000	110.70000000	100.10000000
0.01500000	35.87000000	33.11000000
0.02000000	15.85000000	14.65000000
0.03000000	4.97200000	4.48800000
0.04000000	2.21400000	1.90400000
0.05000000	1.21300000	0.97370000
0.06000000	0.76610000	0.56340000
0.08000000	0.40520000	0.24220000
0.10000000	0.27210000	0.13120000
0.15000000	0.16490000	0.05393000
0.20000000	0.13140000	0.03726000
0.30000000	0.10430000	0.03007000
0.40000000	0.09081000	0.02864000
0.50000000	0.08191000	0.02804000
0.60000000	0.07529000	0.02756000
0.80000000	0.06572000	0.02661000
1.00000000	0.05891000	0.02561000
1.25000000	0.05263000	0.02439000
1.50000000	0.04801000	0.02330000
2.00000000	0.04180000	0.02166000
3.00000000	0.03512000	0.01989000
4.00000000	0.03173000	0.01913000
5.00000000	0.02982000	0.01884000
6.00000000	0.02868000	0.01879000
8.00000000	0.02759000	0.01899000
10.00000000	0.02727000	0.01933000
15.00000000	0.02762000	0.02013000
20.00000000	0.02844000	0.02067000
