Energy(MeV)	u/rho(cm2/g)	u_en/rho(cm2/g)
0.00100000	2899.00000000	2888.00000000
0.00121149	1995.00000000	1984.00000000
0.00146770	1362.00000000	1352.00000000
0.00146770	1919.00000000	1901.00000000
0.00150000	3937.00000000	3892.00000000
0.00151460	4145.00000000	4098.00000000
0.00151460	4830.00000000	4773.00000000
0.00168946	4446.00000000	4395.00000000
0.00188450	3668.00000000	3627.00000000
0.00188450	4254.00000000	4206.00000000
0.00200000	3686.00000000	3646.00000000
0.00208980	3326.00000000	3290.00000000
0.00208980	3534.00000000	3495.00000000
0.00219562	3160.00000000	3125.00000000
0.00230680	2821.00000000	2791.00000000
0.00230680	2945.00000000	2914.00000000
0.00300000	1594.00000000	1576.00000000
0.00400000	794.60000000	783.10000000
0.00500000	456.90000000	448.20000000
0.00600000	289.20000000	282.00000000
0.00800000	139.70000000	134.20000000
0.00864800	114.60000000	109.60000000
0.00864800	299.10000000	260.60000000
0.00911959	260.90000000	228.40000000
0.00961690	227.40000000	200.10000000
0.00961690	310.10000000	264.00000000
0.01000000	283.00000000	242.00000000
0.01011570	274.50000000	235.10000000
0.01011570	316.70000000	269.70000000
0.01500000	115.70000000	102.30000000
0.02000000	54.53000000	48.82000000
0.03000000	18.68000000	16.63000000
0.04000000	8.73500000	7.61500000
0.05000000	4.86700000	4.12400000
0.05938960	3.12200000	2.56200000
0.05938960	12.00000000	4.72100000
0.06000000	14.09000000	4.20300000
0.08000000	6.74100000	3.04400000
0.10000000	3.78000000	2.03300000
0.15000000	1.34000000	0.84100000
0.20000000	0.66820000	0.42830000
0.30000000	0.28220000	0.16950000
0.40000000	0.17220000	0.09522000
0.50000000	0.12610000	0.06544000
0.60000000	0.10180000	0.05081000
0.80000000	0.07693000	0.03721000
1.00000000	0.06404000	0.03095000
1.25000000	0.05455000	0.02658000
1.50000000	0.04912000	0.02417000
2.00000000	0.04362000	0.02214000
3.00000000	0.04002000	0.02199000
4.00000000	0.03954000	0.02321000
5.00000000	0.04010000	0.02463000
6.00000000	0.04108000	0.02598000
8.00000000	0.04352000	0.02832000
10.00000000	0.04612000	0.03016000
15.00000000	0.05216000	0.03305000
20.00000000	0.05698000	0.03424000
