Energy(MeV)	u/rho(cm2/g)	u_en/rho(cm2/g)
0.00100000	3683.00000000	3671.00000000
0.00150000	1643.00000000	1632.00000000
0.00180920	1108.00000000	1097.00000000
0.00180920	1327.00000000	1311.00000000
0.00184014	1911.00000000	1883.00000000
0.00187160	2901.00000000	2853.00000000
0.00187160	3170.00000000	3116.00000000
0.00200000	3922.00000000	3853.00000000
0.00228100	2828.00000000	2781.00000000
0.00228100	3279.00000000	3226.00000000
0.00242350	2833.00000000	2786.00000000
0.00257490	2445.00000000	2407.00000000
0.00257490	2599.00000000	2558.00000000
0.00269447	2339.00000000	2301.00000000
0.00281960	2104.00000000	2071.00000000
0.00281960	2194.00000000	2160.00000000
0.00300000	1902.00000000	1873.00000000
0.00400000	956.40000000	940.50000000
0.00500000	553.40000000	542.30000000
0.00600000	351.40000000	342.80000000
0.00800000	170.50000000	164.30000000
0.01000000	96.91000000	92.04000000
0.01020680	92.01000000	87.24000000
0.01020680	233.40000000	196.60000000
0.01085480	198.30000000	168.40000000
0.01154400	168.90000000	144.40000000
0.01154400	231.20000000	188.90000000
0.01181860	226.80000000	179.70000000
0.01209980	206.50000000	169.90000000
0.01209980	238.20000000	194.80000000
0.01500000	138.90000000	117.20000000
0.02000000	65.73000000	56.97000000
0.03000000	22.73000000	19.91000000
0.04000000	10.67000000	9.24000000
0.05000000	5.94900000	5.05000000
0.06000000	3.71300000	3.07000000
0.06952500	2.55200000	2.04900000
0.06952500	11.23000000	3.21200000
0.08000000	7.81000000	2.87900000
0.10000000	4.43800000	2.10000000
0.15000000	1.58100000	0.93780000
0.20000000	0.78440000	0.49130000
0.30000000	0.32380000	0.19730000
0.40000000	0.19250000	0.11000000
0.50000000	0.13780000	0.07440000
0.60000000	0.10930000	0.05673000
0.80000000	0.08066000	0.04028000
1.00000000	0.06618000	0.03276000
1.25000000	0.05577000	0.02761000
1.50000000	0.05000000	0.02484000
2.00000000	0.04433000	0.02256000
3.00000000	0.04075000	0.02236000
4.00000000	0.04038000	0.02363000
5.00000000	0.04103000	0.02510000
6.00000000	0.04210000	0.02649000
8.00000000	0.04472000	0.02886000
10.00000000	0.04747000	0.03072000
15.00000000	0.05384000	0.03360000
20.00000000	0.05893000	0.03475000
