Energy(MeV)	u/rho(cm2/g)	u_en/rho(cm2/g)
0.00100000	9413.00000000	9393.00000000
0.00107191	8151.00000000	8132.00000000
0.00114900	7035.00000000	7019.00000000
0.00114900	7338.00000000	7321.00000000
0.00150000	4085.00000000	4073.00000000
0.00200000	2088.00000000	2078.00000000
0.00300000	778.00000000	770.90000000
0.00400000	378.70000000	372.80000000
0.00478220	240.80000000	235.50000000
0.00478220	694.10000000	652.40000000
0.00500000	639.20000000	601.50000000
0.00510370	604.40000000	569.30000000
0.00510370	818.10000000	763.00000000
0.00527536	757.90000000	707.90000000
0.00545280	699.10000000	653.90000000
0.00545280	806.40000000	752.70000000
0.00600000	637.60000000	597.90000000
0.00800000	303.20000000	287.10000000
0.01000000	169.00000000	160.50000000
0.01500000	57.43000000	54.20000000
0.02000000	26.52000000	24.65000000
0.03000000	8.93000000	7.96900000
0.03456140	6.12900000	5.35200000
0.03456140	33.16000000	10.86000000
0.04000000	22.70000000	9.32300000
0.05000000	12.72000000	6.54000000
0.06000000	7.82500000	4.54100000
0.08000000	3.63300000	2.37400000
0.10000000	2.01100000	1.37600000
0.15000000	0.72020000	0.48940000
0.20000000	0.37600000	0.23730000
0.30000000	0.17970000	0.09522000
0.40000000	0.12230000	0.05761000
0.50000000	0.09699000	0.04317000
0.60000000	0.08281000	0.03617000
0.80000000	0.06696000	0.02956000
1.00000000	0.05785000	0.02630000
1.25000000	0.05054000	0.02378000
1.50000000	0.04594000	0.02221000
2.00000000	0.04078000	0.02070000
3.00000000	0.03681000	0.02042000
4.00000000	0.03577000	0.02128000
5.00000000	0.03583000	0.02240000
6.00000000	0.03634000	0.02350000
8.00000000	0.03797000	0.02553000
10.00000000	0.03987000	0.02720000
15.00000000	0.04445000	0.03002000
20.00000000	0.04815000	0.03139000
