Energy(MeV)	u/rho(cm2/g)	u_en/rho(cm2/g)
0.00100000	3864.00000000	3857.00000000
0.00150000	1493.00000000	1487.00000000
0.00200000	742.20000000	736.50000000
0.00208000	673.80000000	668.20000000
0.00208000	2627.00000000	2569.00000000
0.00211741	2466.00000000	2412.00000000
0.00215550	2342.00000000	2292.00000000
0.00215550	3264.00000000	3187.00000000
0.00226140	2916.00000000	2849.00000000
0.00237250	2597.00000000	2540.00000000
0.00237250	2962.00000000	2897.00000000
0.00300000	1654.00000000	1623.00000000
0.00400000	793.60000000	779.80000000
0.00500000	442.40000000	434.40000000
0.00600000	272.50000000	267.00000000
0.00800000	125.80000000	122.40000000
0.01000000	68.71000000	66.19000000
0.01500000	22.79000000	21.30000000
0.01703840	16.12000000	14.86000000
0.01703840	102.90000000	46.72000000
0.02000000	68.55000000	36.20000000
0.03000000	23.30000000	15.58000000
0.04000000	10.65000000	7.79000000
0.05000000	5.76400000	4.38800000
0.06000000	3.49300000	2.69900000
0.08000000	1.60700000	1.22800000
0.10000000	0.90470000	0.66160000
0.15000000	0.35950000	0.22030000
0.20000000	0.21490000	0.10930000
0.30000000	0.12890000	0.05186000
0.40000000	0.10060000	0.03779000
0.50000000	0.08613000	0.03249000
0.60000000	0.07703000	0.02986000
0.80000000	0.06546000	0.02708000
1.00000000	0.05795000	0.02537000
1.25000000	0.05141000	0.02375000
1.50000000	0.04692000	0.02254000
2.00000000	0.04137000	0.02109000
3.00000000	0.03628000	0.02026000
4.00000000	0.03428000	0.02048000
5.00000000	0.03355000	0.02107000
6.00000000	0.03341000	0.02174000
8.00000000	0.03399000	0.02311000
10.00000000	0.03504000	0.02432000
15.00000000	0.03790000	0.02638000
20.00000000	0.04048000	0.02746000
