Energy(MeV)	u/rho(cm2/g)	u_en/rho(cm2/g)
0.00100000	1553.00000000	1548.00000000
0.00100980	1518.00000000	1513.00000000
0.00101970	1484.00000000	1478.00000000
0.00101970	3804.00000000	3777.00000000
0.00103119	5097.00000000	5057.00000000
0.00104280	6518.00000000	6464.00000000
0.00104280	8274.00000000	8202.00000000
0.00111565	8452.00000000	8382.00000000
0.00119360	7371.00000000	7312.00000000
0.00119360	8396.00000000	8328.00000000
0.00150000	4825.00000000	4791.00000000
0.00200000	2375.00000000	2359.00000000
0.00300000	831.10000000	824.40000000
0.00400000	386.50000000	382.00000000
0.00500000	211.80000000	208.20000000
0.00600000	129.00000000	126.10000000
0.00800000	58.75000000	56.60000000
0.00965860	35.05000000	33.32000000
0.00965860	253.60000000	159.90000000
0.01000000	233.10000000	149.70000000
0.01500000	81.17000000	60.99000000
0.02000000	37.19000000	29.86000000
0.03000000	12.07000000	10.18000000
0.04000000	5.38400000	4.57000000
0.05000000	2.89200000	2.41900000
0.06000000	1.76000000	1.42900000
0.08000000	0.83640000	0.62030000
0.10000000	0.49730000	0.32780000
0.15000000	0.23410000	0.11280000
0.20000000	0.16170000	0.06225000
0.30000000	0.11410000	0.03764000
0.40000000	0.09539000	0.03195000
0.50000000	0.08450000	0.02979000
0.60000000	0.07695000	0.02861000
0.80000000	0.06656000	0.02704000
1.00000000	0.05941000	0.02580000
1.25000000	0.05296000	0.02443000
1.50000000	0.04834000	0.02329000
2.00000000	0.04235000	0.02174000
3.00000000	0.03634000	0.02041000
4.00000000	0.03360000	0.02014000
5.00000000	0.03225000	0.02028000
6.00000000	0.03160000	0.02061000
8.00000000	0.03138000	0.02143000
10.00000000	0.03175000	0.02223000
15.00000000	0.03335000	0.02367000
20.00000000	0.03509000	0.02451000
